date,store,item,sales
2016-07-01,5,8,93
2016-07-01,1,40,36
2016-07-01,5,39,54
2016-07-01,9,5,27
2016-07-01,3,22,152
2016-07-01,3,32,76
2016-07-01,4,19,68
2016-07-01,6,38,79
2016-07-01,8,11,110
2016-07-01,6,10,91
2016-07-01,3,11,116
2016-07-01,9,16,36
2016-07-01,3,19,68
2016-07-01,2,3,74
2016-07-01,9,49,49
2016-07-01,4,12,116
2016-07-01,8,7,113
2016-07-01,4,8,108
2016-07-01,3,44,55
2016-07-01,10,37,51
2016-07-01,4,27,34
2016-07-01,10,27,33
2016-07-01,7,4,20
2016-07-01,2,14,104
2016-07-01,8,19,80
2016-07-01,7,13,78
2016-07-01,6,8,67
2016-07-01,10,42,62
2016-07-01,3,24,122
2016-07-01,7,6,70
2016-07-01,6,46,67
2016-07-01,4,48,85
2016-07-01,4,36,130
2016-07-01,8,50,115
2016-07-01,6,34,25
2016-07-01,2,33,143
2016-07-01,6,2,69
2016-07-01,8,49,45
2016-07-01,4,40,31
2016-07-01,2,9,82
2016-07-01,3,33,111
2016-07-01,10,39,69
2016-07-01,8,46,119
2016-07-01,2,19,65
2016-07-01,6,18,86
2016-07-01,7,28,79
2016-07-01,10,40,54
2016-07-01,9,28,147
2016-07-01,8,37,62
2016-07-01,6,36,94
2016-07-01,2,22,160
2016-07-01,2,36,156
2016-07-01,1,41,31
2016-07-01,3,26,67
2016-07-01,9,41,36
2016-07-01,10,48,84
2016-07-01,10,22,132
2016-07-01,1,20,59
2016-07-01,10,2,93
2016-07-01,3,21,66
2016-07-01,5,2,76
2016-07-01,8,45,161
2016-07-01,9,37,48
2016-07-01,9,18,152
2016-07-01,7,18,90
2016-07-01,2,23,70
2016-07-01,1,25,117
2016-07-01,1,2,85
2016-07-01,1,24,73
2016-07-01,7,37,31
2016-07-01,6,12,65
2016-07-01,5,47,27
2016-07-01,1,49,37
2016-07-01,5,3,34
2016-07-01,3,16,46
2016-07-01,6,44,35
2016-07-01,8,36,129
2016-07-01,5,23,36
2016-07-01,6,43,54
2016-07-01,5,9,51
2016-07-01,9,10,103
2016-07-01,2,6,119
2016-07-01,2,47,36
2016-07-01,2,37,66
2016-07-01,10,4,37
2016-07-01,5,32,65
2016-07-01,10,50,101
2016-07-01,6,47,24
2016-07-01,8,21,63
2016-07-01,6,20,50
2016-07-01,7,12,79
2016-07-01,8,15,154
2016-07-01,2,24,124
2016-07-01,7,38,74
2016-07-01,4,15,133
2016-07-01,6,50,76
2016-07-01,5,21,42
2016-07-01,10,28,158
2016-07-01,1,48,62
2016-07-01,8,28,173
2016-07-01,4,38,116
2016-07-01,7,47,22
2016-07-01,2,1,48
2016-07-01,2,16,49
2016-07-01,4,45,126
2016-07-01,1,32,55
2016-07-01,4,14,87
2016-07-01,10,7,106
2016-07-01,9,43,76
2016-07-01,1,38,97
2016-07-01,3,38,146
2016-07-01,8,33,123
2016-07-01,3,2,102
2016-07-01,8,42,69
2016-07-01,5,48,71
2016-07-01,8,3,72
2016-07-01,1,7,84
2016-07-01,9,20,78
2016-07-01,10,9,78
2016-07-01,10,44,43
2016-07-01,4,39,57
2016-07-01,5,42,36
2016-07-01,1,36,107
2016-07-01,10,3,54
2016-07-01,7,5,19
2016-07-01,5,36,79
2016-07-01,7,48,50
2016-07-01,4,46,94
2016-07-01,5,12,85
2016-07-01,10,38,131
2016-07-01,3,27,37
2016-07-01,7,42,38
2016-07-01,9,15,123
2016-07-01,5,11,91
2016-07-01,3,12,117
2016-07-01,8,22,145
2016-07-01,1,34,26
2016-07-01,4,5,28
2016-07-01,6,11,77
2016-07-01,6,45,69
2016-07-01,8,47,45
2016-07-01,5,30,38
2016-07-01,10,36,135
2016-07-01,3,36,136
2016-07-01,10,15,159
2016-07-01,8,43,96
2016-07-01,5,34,26
2016-07-01,9,19,70
2016-07-01,5,20,57
2016-07-01,1,15,128
2016-07-01,2,7,99
2016-07-01,1,31,85
2016-07-01,6,35,62
2016-07-01,5,22,98
2016-07-01,6,13,95
2016-07-01,2,39,77
2016-07-01,2,50,126
2016-07-01,4,32,50
2016-07-01,1,8,101
2016-07-01,5,25,84
2016-07-01,8,12,124
2016-07-01,3,13,128
2016-07-01,7,40,19
2016-07-01,10,16,41
2016-07-01,2,28,181
2016-07-01,6,7,67
2016-07-01,3,47,36
2016-07-01,1,13,112
2016-07-01,6,27,26
2016-07-01,4,49,46
2016-07-01,7,1,21
2016-07-01,10,43,86
2016-07-01,6,9,50
2016-07-01,9,23,41
2016-07-01,10,25,137
2016-07-01,9,24,120
2016-07-01,2,38,156
2016-07-01,3,28,163
2016-07-01,7,2,63
2016-07-01,8,25,147
2016-07-01,4,28,109
2016-07-01,9,6,98
2016-07-01,4,29,91
2016-07-01,1,18,127
2016-07-01,9,40,49
2016-07-01,9,9,74
2016-07-01,5,37,40
2016-07-01,8,38,155
2016-07-01,4,10,117
2016-07-01,6,14,61
2016-07-01,7,24,67
2016-07-01,7,7,57
2016-07-01,4,24,119
2016-07-01,2,27,33
2016-07-01,3,23,45
2016-07-01,5,49,29
2016-07-01,6,3,47
2016-07-01,5,17,46
2016-07-01,6,23,32
2016-07-01,9,30,61
2016-07-01,7,32,38
2016-07-01,1,16,39
2016-07-01,8,5,32
2016-07-01,4,11,126
2016-07-01,7,16,26
2016-07-01,8,2,97
2016-07-01,10,11,124
2016-07-01,1,44,49
2016-07-01,9,13,141
2016-07-01,3,7,86
2016-07-01,7,36,83
2016-07-01,1,21,43
2016-07-01,10,34,58
2016-07-01,2,35,118
2016-07-01,10,6,107
2016-07-01,7,14,60
2016-07-01,2,12,129
2016-07-01,3,40,47
2016-07-01,6,33,71
2016-07-01,5,43,54
2016-07-01,9,48,80
2016-07-01,4,34,32
2016-07-01,9,8,122
2016-07-01,9,2,80
2016-07-01,4,1,38
2016-07-01,5,5,16
2016-07-01,9,4,35
2016-07-01,10,12,129
2016-07-01,4,6,84
2016-07-01,4,31,82
2016-07-01,10,30,90
2016-07-01,6,6,78
2016-07-01,1,10,108
2016-07-01,2,42,66
2016-07-01,4,44,51
2016-07-01,9,25,114
2016-07-01,1,45,111
2016-07-01,2,13,150
2016-07-01,5,46,71
2016-07-01,2,25,143
2016-07-01,4,26,68
2016-07-01,2,15,167
2016-07-01,9,32,69
2016-07-01,8,35,131
2016-07-01,10,26,89
2016-07-01,4,41,34
2016-07-01,6,31,69
2016-07-01,4,21,66
2016-07-01,8,41,52
2016-07-01,10,23,49
2016-07-01,6,32,47
2016-07-01,1,26,66
2016-07-01,6,41,23
2016-07-01,10,10,134
2016-07-01,3,9,82
2016-07-01,9,46,79
2016-07-01,6,49,38
2016-07-01,4,47,44
