date,store,item,sales
2017-02-01,8,6,40
2017-02-01,9,30,38
2017-02-01,9,31,47
2017-02-01,5,10,50
2017-02-01,5,12,33
2017-02-01,9,26,51
2017-02-01,1,39,25
2017-02-01,2,29,70
2017-02-01,8,48,43
2017-02-01,3,48,41
2017-02-01,3,31,69
2017-02-01,3,50,59
2017-02-01,6,12,39
2017-02-01,7,29,38
2017-02-01,10,14,48
2017-02-01,2,12,76
2017-02-01,2,39,45
2017-02-01,7,15,49
2017-02-01,6,39,21
2017-02-01,8,37,34
2017-02-01,1,18,45
2017-02-01,5,6,31
2017-02-01,7,34,14
2017-02-01,4,39,40
2017-02-01,10,6,59
2017-02-01,1,10,51
2017-02-01,9,44,16
2017-02-01,5,28,49
2017-02-01,7,28,50
2017-02-01,5,49,22
2017-02-01,2,34,27
2017-02-01,4,18,65
2017-02-01,9,32,44
2017-02-01,3,35,47
2017-02-01,1,22,57
2017-02-01,7,13,48
2017-02-01,3,43,53
2017-02-01,2,17,35
2017-02-01,6,1,14
2017-02-01,7,16,17
2017-02-01,5,17,16
2017-02-01,6,20,29
2017-02-01,2,13,94
2017-02-01,8,34,32
2017-02-01,9,41,20
2017-02-01,4,31,49
2017-02-01,4,48,28
2017-02-01,5,14,47
2017-02-01,2,18,87
2017-02-01,7,22,50
2017-02-01,1,11,54
2017-02-01,4,46,49
2017-02-01,1,2,34
2017-02-01,4,16,16
2017-02-01,9,8,70
2017-02-01,5,16,11
2017-02-01,9,17,20
2017-02-01,7,6,38
2017-02-01,1,3,25
2017-02-01,1,15,60
2017-02-01,8,46,53
2017-02-01,6,45,42
2017-02-01,2,47,21
2017-02-01,9,34,19
2017-02-01,3,11,56
2017-02-01,8,1,19
2017-02-01,10,4,21
2017-02-01,9,36,49
2017-02-01,4,30,28
2017-02-01,9,24,51
2017-02-01,6,30,22
2017-02-01,7,9,28
2017-02-01,4,26,44
2017-02-01,10,25,52
2017-02-01,7,39,19
2017-02-01,7,42,25
2017-02-01,10,43,44
2017-02-01,6,46,35
2017-02-01,9,28,78
2017-02-01,5,33,42
2017-02-01,3,10,67
2017-02-01,5,44,14
2017-02-01,9,5,17
2017-02-01,2,27,21
2017-02-01,1,8,55
2017-02-01,10,3,32
2017-02-01,1,32,30
2017-02-01,10,20,45
2017-02-01,4,9,50
2017-02-01,9,48,44
2017-02-01,1,43,40
2017-02-01,7,36,47
2017-02-01,4,28,68
2017-02-01,10,31,56
2017-02-01,5,47,17
2017-02-01,3,32,33
2017-02-01,1,14,48
2017-02-01,5,24,35
2017-02-01,3,41,20
2017-02-01,10,22,74
2017-02-01,4,13,64
2017-02-01,8,24,66
2017-02-01,1,37,13
2017-02-01,5,27,17
2017-02-01,4,7,66
2017-02-01,1,4,15
2017-02-01,9,35,63
2017-02-01,10,38,71
2017-02-01,9,46,51
2017-02-01,10,26,35
2017-02-01,5,21,26
2017-02-01,3,7,43
2017-02-01,5,29,43
2017-02-01,8,23,22
2017-02-01,5,34,15
2017-02-01,10,7,47
2017-02-01,2,35,72
2017-02-01,3,20,43
2017-02-01,1,44,26
2017-02-01,1,23,13
2017-02-01,7,12,39
2017-02-01,2,37,39
2017-02-01,5,13,36
2017-02-01,8,35,58
2017-02-01,1,12,54
2017-02-01,6,14,44
2017-02-01,3,47,16
2017-02-01,8,9,44
2017-02-01,2,3,50
2017-02-01,10,36,76
2017-02-01,10,50,67
2017-02-01,3,30,32
2017-02-01,10,30,30
2017-02-01,10,8,67
2017-02-01,7,43,28
2017-02-01,5,43,24
2017-02-01,7,26,25
2017-02-01,3,46,57
2017-02-01,8,3,42
2017-02-01,6,43,35
2017-02-01,9,21,43
2017-02-01,8,16,20
