date,store,item,sales
2017-06-01,8,15,158
2017-06-01,4,29,119
2017-06-01,2,9,82
2017-06-01,2,30,60
2017-06-01,5,4,25
2017-06-01,2,1,41
2017-06-01,8,40,46
2017-06-01,3,3,51
2017-06-01,6,34,20
2017-06-01,7,47,20
2017-06-01,9,4,33
2017-06-01,9,12,108
2017-06-01,5,13,89
2017-06-01,9,6,60
2017-06-01,2,32,81
2017-06-01,7,27,20
2017-06-01,8,49,51
2017-06-01,9,36,105
2017-06-01,2,39,69
2017-06-01,1,7,87
2017-06-01,6,8,79
2017-06-01,5,19,41
2017-06-01,10,9,76
2017-06-01,5,41,31
2017-06-01,7,48,52
2017-06-01,3,10,93
2017-06-01,2,15,141
2017-06-01,8,19,67
2017-06-01,6,12,62
2017-06-01,8,42,56
2017-06-01,7,41,22
2017-06-01,1,39,68
2017-06-01,3,27,41
2017-06-01,6,28,95
2017-06-01,8,33,111
2017-06-01,2,6,84
2017-06-01,4,34,31
2017-06-01,10,41,25
2017-06-01,2,33,122
2017-06-01,1,12,88
2017-06-01,8,41,32
2017-06-01,1,15,129
2017-06-01,4,16,30
2017-06-01,3,31,105
2017-06-01,4,14,90
2017-06-01,6,29,66
2017-06-01,10,45,116
2017-06-01,9,38,117
2017-06-01,10,2,89
2017-06-01,1,13,100
2017-06-01,7,2,62
2017-06-01,6,36,74
2017-06-01,7,5,16
2017-06-01,5,29,79
2017-06-01,1,14,68
2017-06-01,8,44,38
2017-06-01,6,27,18
2017-06-01,10,38,123
2017-06-01,10,19,61
2017-06-01,9,15,127
2017-06-01,2,37,55
2017-06-01,7,18,62
2017-06-01,7,25,72
2017-06-01,5,33,77
2017-06-01,4,20,76
2017-06-01,7,16,21
2017-06-01,9,26,70
2017-06-01,3,26,70
2017-06-01,8,30,66
2017-06-01,4,1,29
2017-06-01,7,10,71
2017-06-01,9,24,77
2017-06-01,1,50,78
2017-06-01,6,3,37
2017-06-01,10,4,32
2017-06-01,3,20,66
2017-06-01,4,38,107
2017-06-01,4,25,105
2017-06-01,1,24,85
2017-06-01,5,50,61
2017-06-01,9,50,76
2017-06-01,2,41,32
2017-06-01,8,31,95
2017-06-01,7,15,66
2017-06-01,7,23,21
2017-06-01,9,18,117
2017-06-01,9,48,72
2017-06-01,1,45,89
2017-06-01,1,16,25
2017-06-01,6,33,63
2017-06-01,9,43,68
2017-06-01,5,8,84
2017-06-01,5,48,61
2017-06-01,7,46,46
2017-06-01,6,41,26
2017-06-01,3,15,126
2017-06-01,7,12,67
2017-06-01,4,17,38
2017-06-01,2,4,38
2017-06-01,1,42,39
2017-06-01,9,27,34
2017-06-01,9,22,106
2017-06-01,1,32,59
2017-06-01,7,19,42
2017-06-01,5,23,37
2017-06-01,6,24,71
2017-06-01,5,6,77
2017-06-01,4,42,44
2017-06-01,1,27,21
2017-06-01,5,39,40
2017-06-01,8,29,120
2017-06-01,5,42,50
2017-06-01,7,26,47
2017-06-01,2,46,95
2017-06-01,2,28,158
2017-06-01,3,14,104
2017-06-01,3,40,49
2017-06-01,2,38,136
2017-06-01,6,11,79
2017-06-01,3,49,39
2017-06-01,8,25,145
2017-06-01,7,32,37
2017-06-01,10,49,43
2017-06-01,7,9,42
2017-06-01,6,7,61
2017-06-01,4,9,89
2017-06-01,4,6,108
2017-06-01,5,34,29
2017-06-01,4,26,67
2017-06-01,7,38,77
2017-06-01,8,26,82
